Run,cpu_usage(m),memory_usage(Mi),traffic_per_second,latency(s),num_pods,cpu_per_pod(m),memory_per_pod(Mi),action,cpu_usage_per_request(m/request)
1,0.780492,25.324219,2050.2067,0.0487,1,200.0,256.0,1,0.000380806
2,0.780492,25.324219,2055.5187,0.0486,1,200.0,256.0,1,0.000379698
3,375.85771,31.460938,2024.0211,0.0494,1,200.0,256.0,1,0.185732
4,375.85771,31.460938,2078.8597,0.048,1,200.0,256.0,1,0.180832
5,471.744342,31.765625,2051.1872,0.0487,1,200.0,256.0,1,0.23
6,471.744342,31.765625,2036.8974,0.0491,1,200.0,256.0,1,0.231635
7,471.744342,31.765625,2057.5797,0.0486,1,200.0,256.0,1,0.229325
8,484.893357,31.289063,2065.891,0.0484,1,200.0,256.0,1,0.234799
9,484.893357,31.289063,1998.1305,0.05,1,200.0,256.0,1,0.242649
10,518.311664,31.542969,2076.8568,0.0481,1,200.0,256.0,1,0.249534
11,518.311664,31.542969,2055.0694,0.0486,1,200.0,256.0,1,0.252182
12,486.54908,31.277344,2048.7451,0.0488,1,200.0,256.0,1,0.237576
13,486.54908,31.277344,2054.908,0.0486,1,200.0,256.0,1,0.236861
14,486.54908,31.277344,2014.7217,0.0496,1,200.0,256.0,1,0.241423
15,478.076312,31.746094,2035.5451,0.0491,1,200.0,256.0,1,0.234882
